dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood,run_id,inertia,kernel,param_m,param_alpha,preprocessing,n_features_orig,n_features_reduced
pen-based,Agglomerative,7.0,manhattan,single,0.1908094589889515,0.1908281249925494,-1.4058412281471532e-05,0.1055312954876273,0.9230585673538356,0.1820280109752279,,,,,,,,,,Original,,
pen-based,Agglomerative,7.0,cosine,single,0.5186488750041462,0.5187044159974903,-1.4095298610705288e-05,0.1055312954876273,0.90902136151574,0.1820279971790805,,,,,,,,,,Original,,
pen-based,Agglomerative,8.0,euclidean,complete,0.9684069160139188,0.9684262079827022,0.326458550880527,0.4705240174672489,1.851054996610055,0.5122304858759381,,,,,,,,,,Original,,
pen-based,Agglomerative,8.0,manhattan,complete,0.9766239580058028,0.9766628749785012,0.330114558926961,0.5168304221251819,1.492694732879067,0.5144634476626199,,,,,,,,,,Original,,
pen-based,Agglomerative,8.0,cosine,complete,1.1467250410059933,1.1467735840124078,0.2688884936652516,0.4254912663755458,1.6489938691953938,0.4548292275982519,,,,,,,,,,Original,,
pen-based,Agglomerative,8.0,euclidean,average,0.9900351669930388,0.9901123750023544,0.3657614431021878,0.4554221251819505,1.20926315188046,0.5436196587158889,,,,,,,,,,Original,,
pen-based,Agglomerative,8.0,manhattan,average,0.9716559580119792,0.971710540994536,0.3339577226392665,0.4016557496360989,1.241883103852361,0.4760368289247401,,,,,,,,,,Original,,
pen-based,Agglomerative,8.0,cosine,average,1.1440866669872776,1.1441311669768766,0.3100402915998834,0.4606986899563319,1.1513797656846627,0.5357262146547765,,,,,,,,,,Original,,
pen-based,Agglomerative,8.0,euclidean,single,0.2263359170174226,0.226411374984309,-2.512740780824607e-06,0.1048034934497816,0.8394024613338325,0.1820459111501654,,,,,,,,,,Original,,
pen-based,Agglomerative,8.0,manhattan,single,0.1909971669956576,0.191041625017533,0.000172800094156,0.1104439592430858,1.0841415160531087,0.1819800091869007,,,,,,,,,,Original,,
pen-based,Agglomerative,8.0,cosine,single,0.5248791670019273,0.5249057909823023,0.0001727628840865,0.1104439592430858,1.0721069878031573,0.1819799953345624,,,,,,,,,,Original,,
pen-based,Agglomerative,9.0,euclidean,complete,0.9572773749823682,0.9573370419966524,0.333638531023993,0.4995451237263464,1.6706113659719335,0.5259956624751375,,,,,,,,,,Original,,
pen-based,Agglomerative,9.0,manhattan,complete,0.9761328339809552,0.976179499994032,0.3831447760082007,0.5426673944687045,1.6020900790318209,0.5334254482339714,,,,,,,,,,Original,,
pen-based,Agglomerative,9.0,cosine,complete,1.1455071659875102,1.1455663339875173,0.3015382111035489,0.4799854439592431,1.707611500187545,0.4877752960244803,,,,,,,,,,Original,,
pen-based,Agglomerative,9.0,euclidean,average,0.9826822500035632,0.9827321659831796,0.3676298300334944,0.4602438136826783,1.2072546448983963,0.5450565828659196,,,,,,,,,,Original,,
pen-based,Agglomerative,9.0,manhattan,average,0.9788022919965442,0.9788523750030436,0.3587837156022385,0.4585152838427948,1.1626617914911608,0.5283813755876281,,,,,,,,,,Original,,
pen-based,Agglomerative,9.0,cosine,average,1.1464987920189742,1.146539582987316,0.311173914574161,0.4656113537117904,1.158944976490738,0.537155966601174,,,,,,,,,,Original,,
pen-based,Agglomerative,9.0,euclidean,single,0.2287383750081062,0.2287950000027194,-4.054688816396443e-06,0.1048944687045123,0.8530191653858982,0.1820438237482891,,,,,,,,,,Original,,
pen-based,Agglomerative,9.0,manhattan,single,0.1911138750147074,0.1911675830197055,0.0001742779771918,0.1105349344978166,1.059666810655277,0.1819791159096175,,,,,,,,,,Original,,
pen-based,Agglomerative,9.0,cosine,single,0.5201476660149638,0.5201683750201482,0.0001762876475497,0.1105349344978166,1.050786518718593,0.1819791020562344,,,,,,,,,,Original,,
pen-based,Agglomerative,10.0,euclidean,complete,0.9486551249865444,0.9486912499996834,0.3128334062036568,0.5148289665211062,1.6639990463868368,0.5341410070357342,,,,,,,,,,Original,,
pen-based,Agglomerative,10.0,manhattan,complete,0.9947022499982268,0.9947275840095244,0.386765910861614,0.5768740902474527,1.5281163554340171,0.5511579791481692,,,,,,,,,,Original,,
pen-based,Agglomerative,10.0,cosine,complete,1.152693874988472,1.1527303750044666,0.3271436806911568,0.5151928675400291,1.6378040872076194,0.4962822792732263,,,,,,,,,,Original,,
pen-based,Agglomerative,10.0,euclidean,average,0.99119050000445,0.9912560840020888,0.3715873130681156,0.4680676855895196,1.2154072652677337,0.5441466619231419,,,,,,,,,,Original,,
pen-based,Agglomerative,10.0,manhattan,average,0.9778262080217246,0.9778631670051254,0.3601421733780552,0.4600618631732169,1.132067243201562,0.5288309506893494,,,,,,,,,,Original,,
pen-based,Agglomerative,10.0,cosine,average,1.1475212500081398,1.1475704580079764,0.3111543513951481,0.4656113537117904,1.1214318798340512,0.537155966601174,,,,,,,,,,Original,,
pen-based,Agglomerative,10.0,euclidean,single,0.2305904170207213,0.2306454589997884,-5.600823873117857e-06,0.104985443959243,0.8698288623378833,0.1820417496032224,,,,,,,,,,Original,,
pen-based,Agglomerative,10.0,manhattan,single,0.1907016670156736,0.190722375002224,0.0001717104952852,0.110716885007278,1.0375526269335102,0.1819749079029344,,,,,,,,,,Original,,
pen-based,Agglomerative,10.0,cosine,single,0.5172310420020949,0.5172591670125257,0.0001777626100329,0.1106259097525473,1.0338614790570873,0.1819782086187459,,,,,,,,,,Original,,
pen-based,GaussianMixture,,,,0.0557832079939544,0.055814791994635,0.1117376885345161,0.2063318777292576,1.7737390415304035,0.2942698198316746,2.0,kmeans,-146335.59110207454,6.7855527939176445,0.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0290923749853391,0.0291160000197123,0.1117376885345161,0.2063318777292576,1.7737390415304035,0.2942698198316746,2.0,kmeans,-146335.59110207454,6.7855527939176445,1.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0287760840146802,0.0287972089718095,0.1117376885345161,0.2063318777292576,1.7737390415304035,0.2942698198316746,2.0,kmeans,-146335.59110207454,6.7855527939176445,2.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0299422499956563,0.0299640000157523,0.1117376885345161,0.2063318777292576,1.7737390415304035,0.2942698198316746,2.0,kmeans,-146335.59110207454,6.7855527939176445,3.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0287893749773502,0.0288279590022284,0.1117376885345161,0.2063318777292576,1.7737390415304035,0.2942698198316746,2.0,kmeans,-146335.59110207454,6.7855527939176445,4.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0313214590132702,0.0313523749937303,0.1117376885345161,0.2063318777292576,1.7737390415304035,0.2942698198316746,2.0,kmeans,-146335.59110207454,6.7855527939176445,5.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0302329590194858,0.030257000005804,0.1117376885345161,0.2063318777292576,1.7737390415304035,0.2942698198316746,2.0,kmeans,-146335.59110207454,6.7855527939176445,6.0,,,,,Original,,
