dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
mushroom,PCA_5D,111,5,KMeans_FEKM,8,0,3513.4129384856697,0.1375084156170487,0.3013476731432252,0.5873953717380601,0.7288285001451753,0.5741556531648424
mushroom,PCA_5D,111,5,KMeans_FEKM,9,0,3183.319851768335,0.1333903749473393,0.3041442571777091,0.6011816838995568,0.7672644496180648,0.569383326067724
mushroom,PCA_5D,111,5,KMeans_FEKM,10,0,2902.3934394460857,0.1403345419093966,0.3053288584801464,0.6056129985228951,0.7950825537592291,0.5706616905606218
pen-based,PCA_2D,16,2,Kernel_KMeans,2,0,3436.5123011999635,8.891074125189334,0.1237025234294582,0.2029657933042212,1.247372005247488,0.2915822590961379
pen-based,PCA_2D,16,2,Kernel_KMeans,3,0,2127.574385840243,20.329599750228223,0.2211693116797452,0.3016739446870451,0.7414384419279078,0.3775798066292612
pen-based,PCA_2D,16,2,Kernel_KMeans,4,0,1466.6083026446406,5.458991541992873,0.2981630002446052,0.3564410480349345,0.670042393684254,0.4671644861626574
pen-based,PCA_2D,16,2,Kernel_KMeans,5,0,990.7154628967864,5.202071333769709,0.3753529049198755,0.4538755458515284,0.5938664949286598,0.5396376650005404
pen-based,PCA_2D,16,2,Kernel_KMeans,6,0,848.8684054449388,15.34024666575715,0.4237999385200647,0.5091885007278021,0.6792739980422434,0.5848673531331104
pen-based,PCA_2D,16,2,Kernel_KMeans,7,0,742.4674923514865,31.684090708382428,0.423661243762167,0.5310225618631732,0.7260479726759745,0.5819457208876115
pen-based,PCA_2D,16,2,Kernel_KMeans,8,0,640.1397823890029,30.833964833058417,0.4119655586357229,0.5559497816593887,0.7766637012751547,0.5811028817033204
pen-based,PCA_2D,16,2,Kernel_KMeans,9,0,554.6542351143469,32.48663274990395,0.4211439023972183,0.5905203784570596,0.7691856911326869,0.6083872785240076
pen-based,PCA_2D,16,2,Kernel_KMeans,10,0,495.3177277497348,28.094451957847923,0.4157407570315167,0.592339883551674,0.772316765178336,0.590117349102898
pen-based,PCA_3D,16,3,Kernel_KMeans,2,0,3680.894179601184,14.20026187505573,0.1431136676827431,0.2070596797671033,1.4356192552237137,0.3068994327558239
pen-based,PCA_3D,16,3,Kernel_KMeans,3,0,2641.2590991330535,11.5763268340379,0.2311817617170027,0.3011280931586608,1.0814254603237334,0.3788836728280964
pen-based,PCA_3D,16,3,Kernel_KMeans,4,0,2246.8727691584536,14.674384291749448,0.2180999093749305,0.3540756914119359,0.8685018808545167,0.4413849816519543
pen-based,PCA_3D,16,3,Kernel_KMeans,5,0,1617.415707298804,6.331963416654617,0.3199550039828841,0.447325327510917,0.812739074147936,0.5050254278786068
pen-based,PCA_3D,16,3,Kernel_KMeans,6,0,1347.7030736075317,18.396505875047296,0.3914734755971302,0.4992721979621543,0.8079867168570618,0.5597165369114021
pen-based,PCA_3D,16,3,Kernel_KMeans,7,0,1129.665373779704,23.001476041972637,0.4599563886384997,0.5806950509461426,0.7770755516971344,0.6339684362572442
pen-based,PCA_3D,16,3,Kernel_KMeans,8,0,1011.1211609350958,17.675677583087236,0.4452095447185561,0.5856077147016011,0.7693480087903559,0.6223323528472761
pen-based,PCA_3D,16,3,Kernel_KMeans,9,0,922.572000079515,58.38749879132956,0.4519118487054049,0.6118995633187773,0.8556746196031966,0.6292144295413408
pen-based,PCA_3D,16,3,Kernel_KMeans,10,0,855.0808094387033,31.566355291754007,0.486560993523445,0.6733988355167394,0.9200287314000566,0.665184221620053
pen-based,PCA_5D,16,5,Kernel_KMeans,2,0,3186.2976115037527,13.023705832660198,0.1459603396265991,0.2068777292576419,1.6776000063660113,0.3072266285661796
pen-based,PCA_5D,16,5,Kernel_KMeans,3,0,2458.1318078223476,10.379487874917686,0.203123804140701,0.3072234352256186,1.208229540400206,0.3885084303905828
pen-based,PCA_5D,16,5,Kernel_KMeans,4,0,2187.366524219321,10.195216333959252,0.2205253307893885,0.3608078602620087,1.100395124368699,0.4437441077300254
pen-based,PCA_5D,16,5,Kernel_KMeans,5,0,1722.200810819009,11.619900042191148,0.3575662680841636,0.4465065502183406,1.1154394646058292,0.5296562573155985
pen-based,PCA_5D,16,5,Kernel_KMeans,6,0,1627.0892600866955,8.219043290708214,0.3477909217054837,0.4541484716157205,1.13552019898955,0.5230913331952128
pen-based,PCA_5D,16,5,Kernel_KMeans,7,0,1365.2242110245115,5.0906230001710355,0.4042653551522379,0.5490356622998545,1.0261104110982835,0.5820111557771857
pen-based,PCA_5D,16,5,Kernel_KMeans,8,0,1183.1620208581137,8.082835624925792,0.4552951775578124,0.6009825327510917,0.9926503635281844,0.629613688662765
pen-based,PCA_5D,16,5,Kernel_KMeans,9,0,1089.4949556960914,8.421728750225157,0.4707787240099078,0.638646288209607,0.94388976915678,0.6556780275955719
pen-based,PCA_5D,16,5,Kernel_KMeans,10,0,1027.778335727799,10.119056707713751,0.4670625448930576,0.6660298398835517,1.0504177726173467,0.6634898141495167
